race,gender,incar_length
Non-Black / Non-Hispanic,Male,5
Black,Male,6
Non-Black / Non-Hispanic,Male,2
Hispanic,Male,10
Black,Female,3
Hispanic,Male,1
Non-Black / Non-Hispanic,Female,2
Non-Black / Non-Hispanic,Male,8
Non-Black / Non-Hispanic,Male,2
Hispanic,Male,3
Non-Black / Non-Hispanic,Male,9
Non-Black / Non-Hispanic,Male,1
Black,Male,12
Non-Black / Non-Hispanic,Male,4
Black,Male,12
Hispanic,Male,4
Non-Black / Non-Hispanic,Male,1
Black,Male,11
Black,Male,12
Black,Male,7
Non-Black / Non-Hispanic,Male,12
Hispanic,Male,8
Black,Male,8
Non-Black / Non-Hispanic,Male,5
Hispanic,Male,1
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,7
Non-Black / Non-Hispanic,Male,1
Black,Male,2
Hispanic,Male,1
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Female,3
Non-Black / Non-Hispanic,Male,4
Black,Male,9
Non-Black / Non-Hispanic,Male,12
Non-Black / Non-Hispanic,Male,2
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Female,1
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,7
Black,Male,12
Black,Male,10
Black,Male,6
Non-Black / Non-Hispanic,Male,6
Black,Female,3
Non-Black / Non-Hispanic,Male,1
Black,Male,12
Black,Male,12
Hispanic,Male,1
Black,Male,3
Black,Male,12
Black,Male,12
Black,Male,8
Non-Black / Non-Hispanic,Male,2
Non-Black / Non-Hispanic,Female,1
Black,Male,12
Black,Male,2
Black,Male,9
Non-Black / Non-Hispanic,Female,8
Non-Black / Non-Hispanic,Male,5
Non-Black / Non-Hispanic,Female,1
Non-Black / Non-Hispanic,Male,12
Non-Black / Non-Hispanic,Male,12
Hispanic,Male,8
Hispanic,Female,12
Non-Black / Non-Hispanic,Male,12
Hispanic,Male,12
Hispanic,Male,6
Black,Male,5
Non-Black / Non-Hispanic,Female,1
Non-Black / Non-Hispanic,Male,2
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,4
Non-Black / Non-Hispanic,Female,8
Non-Black / Non-Hispanic,Male,3
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,12
Non-Black / Non-Hispanic,Male,7
Non-Black / Non-Hispanic,Male,2
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,4
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,12
Non-Black / Non-Hispanic,Male,8
Non-Black / Non-Hispanic,Male,1
Black,Male,4
Black,Male,12
Non-Black / Non-Hispanic,Male,12
Black,Female,2
Non-Black / Non-Hispanic,Male,4
Non-Black / Non-Hispanic,Male,9
Non-Black / Non-Hispanic,Female,10
Non-Black / Non-Hispanic,Female,1
Non-Black / Non-Hispanic,Female,1
Hispanic,Male,2
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,10
Non-Black / Non-Hispanic,Male,1
Non-Black / Non-Hispanic,Male,8
Black,Female,1
Black,Female,3
Black,Male,12
Hispanic,Male,9
Hispanic,Male,6
Hispanic,Female,2
Hispanic,Male,5
Hispanic,Male,5
Hispanic,Male,2
Black,Male,12
Black,Male,2
Black,Male,6
Hispanic,Male,7
Hispanic,Male,7
Black,Male,12
Black,Male,12
Black,Male,2
Hispanic,Male,1
Black,Male,11
Black,Female,7
Black,Male,10
Hispanic,Male,2
Hispanic,Male,1
Hispanic,Female,3
Hispanic,Female,1
Black,Male,1
Hispanic,Male,3
Black,Male,12
Black,Male,12
Black,Male,12
Black,Male,6
Black,Male,12
Black,Male,12
Black,Male,9
Black,Male,4
Black,Male,1
Black,Male,12
Black,Male,12
Black,Male,8
Black,Male,12
Hispanic,Male,12
Hispanic,Male,1
Black,Male,2
Black,Male,3
Black,Male,4
Black,Male,4
Black,Male,12
Hispanic,Male,12
Black,Female,3
Black,Male,7
Black,Male,1
Black,Male,7
Black,Male,12
Black,Male,6
Hispanic,Male,1
Hispanic,Female,7
Black,Male,1
Black,Male,2
Black,Male,10
Black,Female,1
Black,Male,12
Black,Male,12
Black,Male,2
Black,Male,2
Black,Male,9
Hispanic,Male,8
Non-Black / Non-Hispanic,Male,3
Non-Black / Non-Hispanic,Male,5
Mixed Race (Non-Hispanic),Female,6
Hispanic,Female,2
Non-Black / Non-Hispanic,Female,3
Hispanic,Male,9
Non-Black / Non-Hispanic,Female,2
Black,Female,1
Black,Male,12
